Prime name	Color of berry skin	Country or region of origin of the variety	variety_id	Species	VVS2_1	VVS2_2	VVMD5_1	VVMD5_2	VVMD7_1	VVMD7_2	VVMD25_1	VVMD25_2	VVMD27_1	VVMD27_2	VVMD28_1	VVMD28_2	VVMD32_1	VVMD32_2	VRZAG62_1	VRZAG62_2	VRZAG79_1	VRZAG79_2
SEYVE VILLARD 23- 545	BLANC	FRANCE	11653	VITIS INTERSPECIFIC CROSSING	125	133	228	234	239	249	241	249	186	190	236	260	250	272	194	204	239	261
SEYVE VILLARD 23- 898	NOIR	FRANCE	11655	VITIS INTERSPECIFIC CROSSING	133	133	228	236	243	261	241	241	182	195	228	252	250	256	188	202	243	245
SEYVE VILLARD 24- 282	NOIR	FRANCE	11656	VITIS INTERSPECIFIC CROSSING	133	133	228	254	239	251	241	249	190	202	238	252	272	272	194	194	245	261
SEYVE VILLARD 24- 418	BLANC	FRANCE	11657	VITIS INTERSPECIFIC CROSSING	133	135	234	236	243	261	241	255	186	186	246	260	256	272	188	202	239	259
SEYVE VILLARD 24- 535	NOIR	FRANCE	11658	VITIS INTERSPECIFIC CROSSING	143	145	236	238	237	251	241	255	188	190	234	236	256	272	180	194	249	261
SEYVE VILLARD 26- 166	NOIR	FRANCE	11659	VITIS INTERSPECIFIC CROSSING	133	145	238	238	251	261	241	241	182	190	228	236	272	272	194	202	243	261
SEYVE VILLARD 27- 91	BLANC	FRANCE	11660	VITIS INTERSPECIFIC CROSSING	133	143	234	238	247	251	241	255	186	190	218	234	240	256	194	204	259	261
SEYVE VILLARD 27- 531	BLANC	FRANCE	11661	VITIS INTERSPECIFIC CROSSING	133	137	234	238	237	247	241	241	180	182	234	234	240	256	180	188	247	255
SEYVE VILLARD 28- 86	NOIR	FRANCE	11662	VITIS INTERSPECIFIC CROSSING	133	145	228	246	239	261	241	241	188	190	228	236	240	272	194	202	249	261
SEYVE VILLARD 29- 399	NOIR	FRANCE	11663	VITIS INTERSPECIFIC CROSSING	133	143	236	248	255	261	241	255	182	188	236	236	250	272	180	180	243	249
SEYVE VILLARD 30- 56	BLANC	FRANCE	11664	VITIS INTERSPECIFIC CROSSING	135	143	234	236	237	261	241	255	182	190	238	238	256	272	180	202	243	261
SEYVE VILLARD 31- 358	NOIR	FRANCE	11665	VITIS INTERSPECIFIC CROSSING	135	139	236	246	239	261	243	255	188	195	228	238	255	272	194	202	245	249
SEYVE VILLARD 36- 152	NOIR	FRANCE	11667	VITIS INTERSPECIFIC CROSSING	133	145	228	238	237	251	241	241	190	190	228	234	256	272	180	194	249	261
SEYVE VILLARD 39- 229	BLANC	FRANCE	11668	VITIS INTERSPECIFIC CROSSING	133	139	228	228	239	261	241	243	188	190	236	238	256	272	194	202	249	261
SEYVE VILLARD 39- 522	NOIR	FRANCE	11669	VITIS INTERSPECIFIC CROSSING	135	143	234	236	237	261	255	255	188	190	238	238	256	272	180	203	249	261
SEYVE VILLARD 39- 639	BLANC	FRANCE	11670	VITIS INTERSPECIFIC CROSSING	133	143	228	234	243	261	237	241	182	195	228	252	256	272	188	202	255	255
SEYVE VILLARD 41- 471	BLANC	FRANCE	11671	VITIS INTERSPECIFIC CROSSING	135	139	234	236	237	251	243	255	188	195	238	238	256	256	180	194	249	251
SEYVE VILLARD 43- 438	BLANC	FRANCE	11672	VITIS INTERSPECIFIC CROSSING	139	149	234	240	239	261	243	249	180	195	236	238	256	272	188	202	255	261
SEYVE VILLARD 45- 440	BLANC	FRANCE	11673	VITIS INTERSPECIFIC CROSSING	137	143	234	236	237	243	243	255	182	188	238	238	240	272	180	188	249	261
SEYVE VILLARD 46- 434	BLANC	FRANCE	11676	VITIS INTERSPECIFIC CROSSING	143	145	234	238	239	243	241	255	188	195	238	242	240	240	188	194	249	255
SEYVE VILLARD 61- 393	BLANC	FRANCE	11677	VITIS INTERSPECIFIC CROSSING	143	145	228	240	243	251	241	241	182	195	228	244	252	256	188	194	243	255
SGAVETTA	NOIR	ITALY	11678	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	234	242	239	247	239	255	186	186	234	260	240	252	196	196	243	243
SHAANI BELYI	BLANC	AZERBAIJAN	11681	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	236	238	239	249	239	241	195	195	244	278	250	272	188	200	257	259
SHABASH	BLANC	UKRAINE	11684	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	131	143	238	240	239	253	249	255	180	186	258	278	252	272	188	204	251	257
SHAFEI	BLANC	ARMENIA/AZERBAIJAN	11687	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	238	242	243	247	239	255	186	195	244	244	250	250	188	202	247	251
SHAKAR ANGUR SAMARKANDSKII	BLANC	UZBEKISTAN	11691	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	234	242	249	253	239	249	186	195	234	244	250	258	188	194	251	257
SHAKAR ANGUR TASHKENTSKII	BLANC	SUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)	11692	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	125	155	236	242	233	243	241	245	180	195	236	258	250	260				
SHAKOKA	NOIR	UNITED STATES OF AMERICA	11699	VITIS INTERSPECIFIC CROSSING	123	161	238	240	235	249	235	241	188	198	226	238	250	250	204	206	257	265
SHAMI	NOIR	ISRAEL	11702	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	151	236	248	233	247	239	249	180	195	244	244	250	272	196	204	247	257
SHAMPANCHIK BESSERGENEVSKII	BLANC	RUSSIAN FEDERATION	11703	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	238	242	245	245	239	241	180	180	258	270	252	252	188	204	257	257
SHASLA SEVERNAYA	ROSE	RUSSIAN FEDERATION	11714	VITIS INTERSPECIFIC CROSSING	133	133	228	230	239	243	241	249	182	186	218	234	240	262	188	194	251	259
SHAVI KURDZENI	NOIR	GEORGIA	11717	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	141	143					241	267	176	186	236	236	250	272	200	202	235	243
SHAVKAPITO	NOIR	GEORGIA	11718	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	141	143	236	238	239	253	241	267	180	186	236	248	262	272	200	202	243	249
SHAVRANY	BLANC	DAGHESTAN	11720	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	238	238	245	249	241	255	182	195	244	248	256	272	196	200	251	259
SHAVTKHILA	NOIR	GEORGIA	11723	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	141	236	236	239	247	239	255	180	195	236	258	250	272	190	200	243	249
SHERIDAN	NOIR	UNITED STATES OF AMERICA	11733	VITIS INTERSPECIFIC CROSSING	125	133	234	234	235	247	241	241	186	188	230	244	250	272	192	206	247	247
SEVKA	NOIR	BULGARIA	11736	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	145	238	238	247	249	239	255	180	186	234	244	256	272	188	200	239	243
SHILOKHVOSTYI	NOIR	RUSSIAN FEDERATION	11738	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	234	248	249	251	239	241	186	195	258	258	272	272	200	204	251	251
SHIRADZOULI VIOLET	ROUGE		11746	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	238	242	239	249	239	239	186	190	236	236	250	272	200	202	243	243
SYRAH	NOIR	FRANCE	11748	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	234	239	239	241	241	190	192	218	228	240	272	188	194	245	251
SHIRVAN SHAKHI	NOIR	AZERBAIJAN	11759	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	234	236	245	249	241	255	193	195	244	248	250	272				
SHONURI	NOIR	GEORGIA	11762	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	230	238	233	247	249	267	186	186	234	254	254	262	204	208		
SHTUR ANGUR	ROUGE	RUSSIAN FEDERATION	11764	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	236	238	243	253	249	255	186	195	244	248	256	258	188	204	247	257
SHURTAK	BLANC	UZBEKISTAN	11768	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	236	238	233	247	241	255	186	195	252	254	256	258	196	204	247	257
SIBIRKOVYI	BLANC	RUSSIAN FEDERATION	11773	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	230	240	239	239	239	255	180	182	234	258	262	264	188	188	251	259
SICILIEN	BLANC	FRANCE	11775	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	240	243	249	239	239	190	195	234	246	240	272	186	188	251	257
BERMESTIA BIANCA	BLANC	ITALY	1178	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	234	238	243	247	239	241	180	186	234	246	252	262	188	192	249	251
SIDERITIS	ROUGE	GREECE	11780	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	147	151	238	242	247	247	245	255	186	195	244	258	272	272	186	196	251	257
SIEGERREBE	ROSE	GERMANY	11781	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	234	238	243	247	249	255	190	195	218	234	240	240	188	204	245	249
SIEGFRIEDREBE	BLANC	GERMANY	11783	VITIS INTERSPECIFIC CROSSING	125	151	236	236	257	261	249	249	182	186	234	242	240	272	194	202	243	259
SILCHER	BLANC	GERMANY	11796	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	153	234	238	247	247	241	249	186	190	228	228	272	272	194	204	239	251
SILOZDER CRNI	NOIR	CROATIA	11801	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	143	228	234	239	247	239	255	180	182	258	258	256	272	188	204	259	259
STAUFER	BLANC	GERMANY	11802	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	238	237	243	241	249	182	190	228	234	240	272	180	188	245	255
SILVANER BLAU	NOIR	GERMANY	11804	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	153	228	234	243	247	241	249	190	195	228	236	272	272	188	204	249	251
SILVANER GRUEN	BLANC	AUSTRIA	11805	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	153	228	234	243	247	241	249	190	195	228	236	272	272	188	204	249	251
SILVANER GRUEN (4N)	BLANC	AUSTRIA	11806	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	153	228	234	243	247	241	249	190	195	228	236	272	272	188	204	249	251
SILVANER ROT	ROUGE	AUSTRIA	11807	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	153	228	234	243	247	241	249	190	195	228	236	272	272	188	204	249	251
SILVANIA	BLANC	ROMANIA	11808	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	228	243	249	239	249	195	195	234	246	240	250	188	204	251	257
SIPOSKA	ROUGE	UNITED STATES OF AMERICA	11825	VITIS INTERSPECIFIC CROSSING	129	161	252	266	249	253			186	188					193	204	249	259
SIRELIK BEYAZ	BLANC	TURKEY	11827	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	238	238	247	249			182	195	244	254	256	272	200	204	247	247
SIRALIK PEMBE	ROUGE	TURKEY	11828	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	238	242	243	249			186	195	258	258	262	272	188	190	247	249
SIRGULA	BLANC	GEORGIA	11830	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	143	238	242	247	253	241	255	176	186	234	244	262	272	190	200	237	251
SIRIO	BLANC	ITALY	11832	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	155	230	238	243	247	239	241	182	182	234	244	252	252	188	204	259	259
SIRIUS	BLANC	GERMANY	11833	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	234	237	247	241	249	182	190	234	244	256	272	180	194	245	261
SIROKA MELNISKA	NOIR	BULGARIA	11838	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	236	248	239	239	239	239	180	182	246	246	272	272	188	196	243	251
SITVI	BLANC	TURKEY	11842	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	151	228	236	239	247			184	188	258	258			192	196	251	251
SIZYI	BLANC	RUSSIAN FEDERATION	11845	VITIS INTERSPECIFIC CROSSING	139	145	228	236	239	239	241	271	180	190	248	248	272	272	188	194	245	251
SKHILATUBANI	NOIR	GEORGIA	11848	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	151	155	234	234	241	249	255	263	180	186	234	236	254	262	194	200	239	251
SKIADOPOULO	BLANC	GREECE	11849	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	145	228	242	239	239	241	255	182	190	244	277	258	272	186	188	243	259
SKIF	BLANC	RUSSIAN FEDERATION	11851	VITIS INTERSPECIFIC CROSSING	129	133	228	240	239	247	235	237	182	184	228	244	237	244	188	206	253	255
SKYLOKLIMA	BLANC	GREECE	11860	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	228	249	249	241	255	180	184	236	258	252	262				
SKYLOPNICHTIS KOKKINOS	NOIR	GREECE	11861	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	145	234	242	239	249	241	255	180	190	236	236	250	272	186	194	243	251
SLANKAMENKA BELA	BLANC	SERBIA	11866	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	139	230	234	239	255	239	255	184	195	260	278	256	264	188	204	245	251
BERNATH JANOS	NOIR	HUNGARY	1187	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	228	230	239	255	241	255	186	190	244	260	264	272	194	204	251	259
SLAVJANKA	BLANC	BULGARIA	11873	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	236	239	243	239	241	180	182	218	234	250	252	188	188	247	255
SMUGLYANKA MOLDAVSKAYA	NOIR	MOLDOVA	11885	VITIS INTERSPECIFIC CROSSING	133	137	238	240	247	251	241	241	186	186	234	236	272	274	188	194	239	251
SOCHAL	NOIR	SUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)	11891	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	125	151	236	240	243	249	241	245	180	186	244	246	258	272	188	202	247	251
SOIC CRNI	NOIR	CROATIA	11898	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	228	228	247	249	239	249	180	195	236	248	256	272	190	204	249	259
SOLFERINO	ROUGE	ITALY	11904	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	228	234	239	247	255	255	186	186	244	258	272	272				
SOLONIS	NOIR	GERMANY	11909	VITIS INTERSPECIFIC CROSSING	139	155	254	270	251	259	243	255	196	210	248	248	237	237	190	200	257	261
SOMARELLO ROSSO	ROUGE	ITALY	11914	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	242	251	253	241	255	180	184	244	248	250	250	200	200	247	251
SOMSZOELOE KEK	ROUGE	HUNGARY	11916	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	234	240	239	239	239	250	180	180	236	258	262	272	188	188	239	251
SOMSZOELOE FEHER	BLANC	HUNGARY	11917	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI							239	249	182	182	244	258			196	200	249	251
BERRI SPITAK	BLANC	ARMENIA	1192	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	238	238	247	253	241	249	180	186	278	282	272	292	190	204	239	251
SOPERNIK	BLANC	RUSSIAN FEDERATION	11921	VITIS INTERSPECIFIC CROSSING	133	135	238	238	233	247	249	255	180	184	244	268	237	264	196	204	255	255
SORAYA	BLANC	BRAZIL	11924	VITIS INTERSPECIFIC CROSSING	133	135	238	240	241	247	255	255	180	195	226	234	252	272	192	202	247	255
SORI	NOIR	GERMANY	11926	VITIS INTERSPECIFIC CROSSING	143	155	268	270	251	251	239	255	210	218	244	248	236	264	190	190	259	261
SORISIL	NOIR	GERMANY	11927	VITIS INTERSPECIFIC CROSSING	151	159	228	254	243	251	235	249	195	218	236	248	272	272	180	190	249	259
SOROK LYET OKTYABRYA	NOIR	UKRAINE	11928	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	240	248	239	239	239	241	182	182	228	244	252	272	188	188	243	259
SOURI	BLANC	LEBANON	11932	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	151	236	242	239	245	239	263	182	195	258	258	256	272	188	202	251	257
SOUTHLAND	NOIR	UNITED STATES OF AMERICA	11935	MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA					235	245			200	216					214	214		
SOUVENIR DU CONGRES	ROSE	FRANCE	11937	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	238	240	239	239	239	241	180	186	218	234	240	272				
SIMONE	NOIR	CANADA	11942	VITIS INTERSPECIFIC CROSSING	125	151	236	236	235	239	249	249	184	186	226	234	250	272	188	202	247	265
SOVEREIGN CONCORDIA	NOIR	CANADA	11943	VITIS INTERSPECIFIC CROSSING	125	125	240	240	235	239	267	267	184	186	226	234	250	250	188	202	247	265
SOVEREIGN CORONATION	NOIR	CANADA	11944	VITIS INTERSPECIFIC CROSSING	125	151	240	240	235	239	249	249	186	186	218	234	250	250	188	202	259	265
SOVEREIGN EMERALD	BLANC	CANADA	11947	VITIS INTERSPECIFIC CROSSING	123	137	238	266	239	247	241	255	187	187	234	238	272	272	194	204	255	259
SOVEREIGN GOLD	BLANC	CANADA	11948	VITIS INTERSPECIFIC CROSSING	125	143	236	240	239	247	239	239	180	186	218	230	250	264	188	204	237	265
SOVEREIGN JADE	BLANC	CANADA	11949	VITIS INTERSPECIFIC CROSSING	125	125	236	236	235	239	267	267	184	186	218	234	250	250	188	202	259	265
SOVEREIGN JEWEL	BLANC	CANADA	11950	VITIS INTERSPECIFIC CROSSING	125	151	240	240	235	247	249	249	184	195	218	234	250	250	204	206	259	259
SOVEREIGN JUBILEE	BLANC	CANADA	11951	VITIS INTERSPECIFIC CROSSING	125	151	236	236	235	247	249	249	186	186	218	244	250	250	202	204	259	265
SOVEREIGN NOIR	NOIR	CANADA	11952	VITIS INTERSPECIFIC CROSSING	123	141	228	266	235	239	237	239	180	190					194	202	237	245
SOVEREIGN OPAL	BLANC	CANADA	11953	VITIS INTERSPECIFIC CROSSING	141	149	228	240	249	251	237	249	186	187	228	244	272	272	186	192	255	259
SOVEREIGN ROSE	ROSE	CANADA	11956	VITIS INTERSPECIFIC CROSSING	125	155	238	238	235	247	241	241	180	190	226	268	250	272	202	204	255	259
SOVEREIGN ROYALE	NOIR	CANADA	11958	VITIS INTERSPECIFIC CROSSING	123	141	228	238	239	247	237	241	187	187	226	238	272	272	194	204	255	259
SOVEREIGN SUNGLO	BLANC	CANADA	11961	VITIS INTERSPECIFIC CROSSING	125	151	236	236	235	239	249	249	184	195	226	234	250	250	188	202	247	259
SOVEREIGN TIARA	BLANC	CANADA	11962	VITIS INTERSPECIFIC CROSSING	137	149	228	240	239	249	249	255	186	190	228	244	250	272	186	194	239	245
SOVRANA	BLANC	ITALY	11965	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	234	238	247	249	239	255	182	195	234	236	252	272	192	204	257	259
SOYAKI	BLANC	UZBEKISTAN	11966	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	141	230	242	233	243	255	257	182	186	244	244	244	258	188	204	249	251
SPALTARINA	BLANC	ITALY	11969	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	234	234	239	247	239	255	184	190	234	234	240	252	200	204	245	249
SPASOVCHANYI	BLANC	RUSSIAN FEDERATION	11975	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	236	240	239	249	239	255	182	186			252	272				
SPLENDID	ROUGE	ROMANIA	11980	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	135	228	242	247	253	255	255	186	186	244	268	272	272	188	204	251	251
SREBROSTROUI	BLANC	BULGARIA	11983	VITIS INTERSPECIFIC CROSSING	133	141	234	242	251	251	255	267	180	182	234	236			194	200	249	255
ST. CROIX	NOIR	UNITED STATES OF AMERICA	11986	VITIS INTERSPECIFIC CROSSING	125	133	254	266	235	251	237	243	186	198	244	248	262	262	194	202	247	257
STANICHNYI BELYI	BLANC	RUSSIAN FEDERATION	11993	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	139	238	266	233	243			184	188					188	196	255	259
STANUSINA CRNA	NOIR	REPUBLIC OF NORTHMACEDONIA	11994	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	234	240	239	249	239	239	182	186	236	244	250	272	188	194	243	259
STARK STAR	NOIR	UNITED STATES OF AMERICA	11998	VITIS INTERSPECIFIC CROSSING	125	131	220	220	235	245	239	239	186	195	230	238	272	272	180	206	247	249
AGRONOMICA	NOIR	PORTUGAL	120	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	143	238	240	243	247			180	186					188	192	239	251
STEPNYAK	BLANC	RUSSIAN FEDERATION	12006	VITIS INTERSPECIFIC CROSSING	137	151	230	230	233	241	245	255	182	190	234	258	252	272	188	196	243	253
STERLING	BLANC	UNITED STATES OF AMERICA	12007	MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA	147	149			245	245			212	216					214	214		
STEUBEN	NOIR	UNITED STATES OF AMERICA	12009	VITIS INTERSPECIFIC CROSSING	125	133	240	240	235	247	241	243	186	188	226	230	240	272	192	202	247	247
STORGOZIYA	NOIR	BULGARIA	12013	VITIS INTERSPECIFIC CROSSING	143	145	238	240	237	239	241	255	186	190	236	258	240	240	180	194	239	261
STOUT SEEDLESS	BLANC	UNITED STATES OF AMERICA	12015	VITIS INTERSPECIFIC CROSSING	125	145	230	236	239	241	239	239	182	195	232	244	250	272	188	202	247	247
STOVER	BLANC	UNITED STATES OF AMERICA	12016	VITIS INTERSPECIFIC CROSSING	133	133	228	234	235	237	241	269	188	190	236	268	272	272	180	206	247	261
STROFILIATIKO	BLANC	GREECE	12020	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	155	228	228	249	253	241	249	182	195	254	258	256	258	192	202	257	259
STRUGURASH	NOIR	MOLDOVA	12022	VITIS INTERSPECIFIC CROSSING	133	137	238	238	247	251	241	241	180	190	234	244	256	272	188	194	247	261
SUBEREUX	NOIR	FRANCE	12031	VITIS INTERSPECIFIC CROSSING	143	145	228	238	237	243	241	255	182	190	236	258	240	272	180	188	243	261
SUFFOLK RED	ROUGE	UNITED STATES OF AMERICA	12038	VITIS INTERSPECIFIC CROSSING	125	155	236	238	235	253	243	245	182	186	226	246	250	272	188	202	247	259
SUGARGATE	NOIR	UNITED STATES OF AMERICA	12042	MUSCADINIA INTERSPECIFIC CROSSING	149	155			235	243			200	216					198	214		
SUKHOLIMANSKII BELYI	BLANC	UKRAINE	12046	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	236	248	239	249	239	255	182	186	218	248	240	252	196	204	243	251
SULIVAN BLANC	BLANC	FRANCE	12048	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	238	240	239	243	241	249	180	186	236	268	240	256	194	200	249	251
SULMER	NOIR	GERMANY	12049	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	143	228	230	239	249	239	249	180	190	236	246	240	272	194	204	237	245
SULTANA MOSCATA	BLANC	ITALY	12050	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	149	151	230	236	239	249	249	249	195	195	218	268	250	264	186	188	247	257
SULTANINA	BLANC	CENTRAL ASIA	12051	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	151	236	236	239	253	239	249	182	195	218	244	250	250	188	188	247	259
SULTANINA GIGAS (4N)	ROSE	TURKEY	12052	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	145	151	236	236	239	253	239	249	182	195	218	244	250	250	188	188	247	259
SEIBEL 198	NOIR	FRANCE	1206	VITIS INTERSPECIFIC CROSSING	137	153	234	240	231	239	245	263	192	195	244	256	250	264	196	204	253	257
GAMAY X REICHENSTEINER C- 43	NOIR	SWITZERLAND	12064	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	230	240	249	257	239	255	182	182	218	248	264	272	194	204	245	259
GAMAY X REICHENSTEINER A- 20	NOIR	SWITZERLAND	12065	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	137	151	230	240	247	249	239	249	182	182	246	248	240	264	194	204	243	245
PROF. MEIERTRAUBE	BLANC	ITALY	12066	VITIS INTERSPECIFIC CROSSING	133	135	234	238	247	249	249	255	195	195	226	244	264	272	186	204	255	257
SUMMIT	BLANC	UNITED STATES OF AMERICA	12071	MUSCADINIA INTERSPECIFIC CROSSING	149	153	234	234	235	245	251	269	198	200					214	214		
SUMOLL	NOIR	SPAIN	12072	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	145	228	242	243	249	241	241	180	182	236	236	256	272	186	188	247	261
SUPER HAMBURG	NOIR	JAPAN	12079	VITIS INTERSPECIFIC CROSSING	123	149	234	234	235	247	241	249	186	186	226	236	272	272	192	206	239	247
BERTILLE SEYVE 229	NOIR	FRANCE	1208	VITIS INTERSPECIFIC CROSSING	125	133	228	238	235	237	241	241	182	186	252	254	256	272	180	190	243	247
SUPER RAN BOLGAR	BLANC	BULGARIA	12081	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	234	238	247	249	239	241	180	186	234	268	258	272	186	192	251	255
SUPERBA	ROUGE	ITALY	12083	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	135	234	240	247	247	239	255	186	195	234	234	240	272				
SUPERFRANKENTAL	NOIR	ITALY	12084	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	135	153	232	238	247	251	245	255	180	186	234	244	240	250				
